model,lambda_z,lambda_next,lambda_fine,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
Anchor,0,0,0,0.046052631578947366,0.025346830798690195,0.019069157268170427,0.0756578947368421,0.03284971062985241,0.0211336610339966
Anchor+fine,0,0,0.2,0.047697368421052634,0.02640530869705013,0.020031197786131997,0.0756578947368421,0.033344627707873296,0.021864854998282366
Anchor+future-no-router,0,0.0,0.2,0.047697368421052634,0.02640530869705013,0.020031197786131997,0.0756578947368421,0.033344627707873296,0.021864854998282366
Anchor+router,0.05,0,0.2,0.049342105263157895,0.026993025445943217,0.020335343567251463,0.07730263157894737,0.0339062229712053,0.02215553983136882
Full FIR-MIC,0.05,0.0,0.2,0.049342105263157895,0.026993025445943217,0.020335343567251463,0.07730263157894737,0.0339062229712053,0.02215553983136882
