epoch,loss,rank_loss,next_loss,route_loss
1,33.42668599348802,32.493372623737045,4.245172628989587,0.5437959547226245
2,31.565954208374023,30.658349624046913,4.176686433645395,0.4596765958345853
3,30.482883600088265,29.58310706798847,4.177209560687725,0.38351711286948276
4,29.91598107264592,29.023146849412186,4.176570287117591,0.31948564029656923
5,29.630248143122746,28.742965478163498,4.176463530613826,0.26869677981505025
6,28.821724231426533,27.93759558751033,4.182280815564669,0.22828331073889366
7,28.69068431854248,27.810726239131046,4.177716493606567,0.197049397115524
8,28.305852816655086,27.429504981407753,4.172893890967736,0.17240653187036514
9,28.116510684673603,27.242179723886345,4.172347875741812,0.15486210928513452
10,27.87984092418964,27.006815103384163,4.173638288791363,0.1401510897737283
11,27.581900890056904,26.710504311781662,4.171477061051589,0.12891869017711052
12,27.25012309734638,26.379753259512093,4.170743538783147,0.1205910576077608
13,27.22252522982084,26.353162692143368,4.169389046155489,0.11336359123771007
14,26.747097748976486,25.87819004058838,4.1695311069488525,0.10754079457658988
15,26.52554886157696,25.657243728637695,4.1682110749758206,0.1047490554360243
16,26.285772983844463,25.418109233562763,4.166906962027917,0.10142408082118401
17,25.993008907024677,25.125444118793194,4.167488446602454,0.09898427988474186
18,25.742212222172665,24.87500469501202,4.16688216649569,0.09692150153792821
19,25.893455285292404,25.026261182931755,4.166774584696843,0.09535645980101365
20,25.372700691223145,24.505794525146484,4.166248083114624,0.09397927012581092
