epoch,loss,rank_loss,next_loss,route_loss
1,25.227163921702992,24.451486587524414,3.528383666818792,0.4092435874044895
2,23.808586662465874,23.060384858738292,3.4518274150111456,0.25454509986395185
3,23.148509740829468,22.39632110162215,3.4287982257929714,0.27608551254326646
4,22.659875696355645,21.902054418217052,3.449728721922094,0.28618250448595395
5,22.25927129658786,21.50185572017323,3.466635831377723,0.26955461366610095
6,21.786095879294656,21.028758655894887,3.4672714309258894,0.2701143463226882
7,21.547332048416138,20.790596680207685,3.4675827459855513,0.26950024982744997
8,21.366803884506226,20.610322150317106,3.468661679462953,0.2672046920792623
9,21.052938027815387,20.29663972421126,3.469652679833499,0.2661707809364254
10,20.925147901881825,20.168435898694124,3.4691397060047495,0.2685116055336865
11,20.9123071865602,20.155908530408684,3.4694348248568447,0.2674722359939055
12,20.72654640674591,19.969669580459595,3.4689106751572,0.27066653763706033
