trial,intents,dim,learning_rate,weight_decay,dropout,router_dropout,epoch,loss,rank_loss,next_loss,route_loss,validation_lambda_z,validation_lambda_next,validation_lambda_fine,validation_Recall@10,validation_NDCG@10,validation_MRR@10,validation_Recall@20,validation_NDCG@20,validation_MRR@20
1,32,64,0.0005,0.0001,0.15,0.1,1,25.68138738112016,24.8948242447593,3.5394455167380245,0.4765786084939133,0.1,0.1,0.0,0.05915065722952477,0.030925082025578667,0.022412810759625725,0.08746208291203236,0.0379670379639961,0.024283976409681142
1,32,64,0.0005,0.0001,0.15,0.1,2,24.152058362960815,23.397969245910645,3.439385099844499,0.3532808893783526,0.0,0.1,0.2,0.057633973710819006,0.030269572536011622,0.022003546952990834,0.0884732052578362,0.03795188255434963,0.024046314974309292
1,32,64,0.0005,0.0001,0.15,0.1,3,23.457098895853218,22.71173859726299,3.4126704226840627,0.2901661460372535,0.0,0.2,0.05,0.05712841253791709,0.030810072638037096,0.022777938273388223,0.08897876643073811,0.03884049939588772,0.024967861956274748
1,32,64,0.0005,0.0001,0.15,0.1,4,23.01943325996399,22.27488177472895,3.402432224967263,0.2771159478209235,0.1,0.05,0.0,0.057633973710819006,0.030364107713616608,0.02209001396311811,0.08695652173913043,0.03766490569754112,0.02403274918134582
1,32,64,0.0005,0.0001,0.15,0.1,5,22.83851799097928,22.09204142743891,3.4060099991885098,0.28033003448085353,0.1,0.2,0.05,0.05712841253791709,0.030472554988718353,0.02235924534963969,0.0859453993933266,0.037753240624757205,0.024353376857822042
1,32,64,0.0005,0.0001,0.15,0.1,6,22.492168708281085,21.74321775002913,3.417148072611202,0.28414077548818156,0.0,0.1,0.2,0.057633973710819006,0.030446619089145633,0.022178487168375945,0.0910010111223458,0.038764315962404906,0.024398108871941774
2,32,64,0.001,0.0001,0.15,0.1,1,25.227163921702992,24.451486587524414,3.528383666818792,0.4092435874044895,0.1,0.05,0.1,0.05915065722952477,0.030852513336869974,0.02231671401287175,0.08695652173913043,0.03783291178569561,0.02420221519303292
2,32,64,0.001,0.0001,0.15,0.1,2,23.808586662465874,23.060384858738292,3.4518274150111456,0.25454509986395185,0.0,0.2,0.2,0.057633973710819006,0.030506515078537765,0.022293040910331102,0.0910010111223458,0.0389292817032681,0.024595134047249737
2,32,64,0.001,0.0001,0.15,0.1,3,23.148509740829468,22.39632110162215,3.4287982257929714,0.27608551254326646,0.05,0.2,0.2,0.05813953488372093,0.03098165367148749,0.02271975861460189,0.09302325581395349,0.039726879439795505,0.02507928874153162
2,32,64,0.001,0.0001,0.15,0.1,4,22.659875696355645,21.902054418217052,3.449728721922094,0.28618250448595395,0.0,0.2,0.2,0.06066734074823053,0.031113299375692256,0.02220677451971689,0.09150657229524772,0.0388353874065141,0.024284195186977966
2,32,64,0.001,0.0001,0.15,0.1,5,22.25927129658786,21.50185572017323,3.466635831377723,0.26955461366610095,0.0,0.2,0.1,0.05611729019211325,0.030687691260343583,0.022889081483621423,0.08998988877654196,0.03918435217294065,0.025184444695662514
2,32,64,0.001,0.0001,0.15,0.1,6,21.786095879294656,21.028758655894887,3.4672714309258894,0.2701143463226882,0.05,0.2,0.2,0.06016177957532862,0.03110066033618274,0.022307084276245046,0.09302325581395349,0.03933272282417019,0.024528581864990563
2,32,64,0.001,0.0001,0.15,0.1,7,21.547332048416138,20.790596680207685,3.4675827459855513,0.26950024982744997,0.0,0.2,0.2,0.05965621840242669,0.031721755101991087,0.023190411992232013,0.09453993933265925,0.04046195856807759,0.025545226209792632
2,32,64,0.001,0.0001,0.15,0.1,8,21.366803884506226,20.610322150317106,3.468661679462953,0.2672046920792623,0.0,0.2,0.1,0.05915065722952477,0.030768557514457825,0.022136357070634122,0.08796764408493428,0.03801811905990714,0.024108086069420814
2,32,64,0.001,0.0001,0.15,0.1,9,21.052938027815387,20.29663972421126,3.469652679833499,0.2661707809364254,0.05,0.2,0.2,0.06066734074823053,0.03170384212012815,0.02288547033238641,0.09302325581395349,0.039884886225508925,0.02513329402334073
2,32,64,0.001,0.0001,0.15,0.1,10,20.925147901881825,20.168435898694124,3.4691397060047495,0.2685116055336865,0.1,0.2,0.2,0.05965621840242669,0.03151798076025902,0.02292198308376266,0.08948432760364004,0.038939751450994826,0.024897639881991746
2,32,64,0.001,0.0001,0.15,0.1,11,20.9123071865602,20.155908530408684,3.4694348248568447,0.2674722359939055,0.1,0.1,0.2,0.06016177957532862,0.03130866290509347,0.022544818399216782,0.08897876643073811,0.03855632286764149,0.024515545733775988
2,32,64,0.001,0.0001,0.15,0.1,12,20.72654640674591,19.969669580459595,3.4689106751572,0.27066653763706033,0.1,0.2,0.1,0.06370070778564206,0.03316848091210341,0.023964000834577174,0.08645096056622852,0.038801453948647854,0.025448307376491085
2,32,64,0.001,0.0001,0.15,0.1,13,20.53750024058602,19.78052030910145,3.4694325815547598,0.27052264186468994,0.05,0.2,0.1,0.06016177957532862,0.031572815969223574,0.022818062175999482,0.08543983822042467,0.0379848119361438,0.02459029844548804
2,32,64,0.001,0.0001,0.15,0.1,14,20.467749530618843,19.71044093912298,3.469765850088813,0.2720167657191103,0.05,0.2,0.05,0.06117290192113246,0.032122830511085415,0.02333987352945897,0.08543983822042467,0.038181221200896474,0.0249624125992702
2,32,64,0.001,0.0001,0.15,0.1,15,20.36192985014482,19.604681047526274,3.469561146064238,0.272587790069255,0.1,0.2,0.2,0.06016177957532862,0.03228336037416547,0.02380290336559295,0.0859453993933266,0.038799939107534646,0.0255901012818827
2,32,64,0.001,0.0001,0.15,0.1,16,20.19035144285722,19.433168931440875,3.4690054844726217,0.2735011384568431,0.2,0.05,0.1,0.05712841253791709,0.03064579545037752,0.022590359028680566,0.08139534883720931,0.03677586579298194,0.02427182565339286
2,32,64,0.001,0.0001,0.15,0.1,17,20.143374117937956,19.38556684147228,3.4690510874444787,0.2771235298026692,0.1,0.2,0.2,0.06066734074823053,0.031556595014135026,0.02273620941467251,0.08695652173913043,0.03826434720894508,0.02460800305562113
3,64,64,0.0005,0.0001,0.15,0.1,1,25.718143571506847,24.786794337359343,4.236940243027427,0.5207292925227772,0.05,0.2,0.1,0.05712841253791709,0.030367274022131227,0.022262747363859598,0.08796764408493428,0.038114582987321566,0.024363763166600567
3,64,64,0.0005,0.0001,0.15,0.1,2,24.134906898845326,23.231452703475952,4.173877721483057,0.4079432711005211,0.1,0.1,0.2,0.05611729019211325,0.030120840133471046,0.022249707095510936,0.08493427704752275,0.03741279155686598,0.02424932854153116
3,64,64,0.0005,0.0001,0.15,0.1,3,23.46109286221591,22.56518443064256,4.178177898580378,0.3312200104648417,0.1,0.0,0.05,0.056622851365015166,0.03050622487518339,0.022589355931115284,0.08240647118301314,0.036954417991686715,0.02431811773191173
3,64,64,0.0005,0.0001,0.15,0.1,4,22.99596368182789,22.105807781219482,4.183344526724382,0.26896355250342324,0.0,0.2,0.1,0.056622851365015166,0.030124410688436624,0.02209964369974481,0.08746208291203236,0.03792823514504448,0.024244090667002758
3,64,64,0.0005,0.0001,0.15,0.1,5,22.781995209780607,21.89573062549938,4.185438020662828,0.22385931692340158,0.1,0.1,0.1,0.05611729019211325,0.030294980037459052,0.022477009003803745,0.0884732052578362,0.038409478848519474,0.024668671983465205
3,64,64,0.0005,0.0001,0.15,0.1,6,22.389357285066083,21.505601926283404,4.179471346465024,0.19901360385119915,0.0,0.05,0.2,0.056622851365015166,0.03048143722282913,0.022546623974834284,0.08897876643073811,0.03861076772806577,0.02474854123331805
3,64,64,0.0005,0.0001,0.15,0.1,7,22.230421196330678,21.348257303237915,4.176656674255025,0.18362924727526578,0.05,0.2,0.2,0.057633973710819006,0.031164378966870274,0.023053388864814547,0.08998988877654196,0.039313090149111586,0.02527067348722036
3,64,64,0.0005,0.0001,0.15,0.1,8,22.039664593609896,21.15892015803944,4.1733540730042895,0.1746166409416632,0.05,0.1,0.05,0.05813953488372093,0.03051544534625995,0.02213154220232077,0.08695652173913043,0.03767281843285055,0.024025298717559873
3,64,64,0.0005,0.0001,0.15,0.1,9,21.63976636799899,20.75949092344804,4.171525093642148,0.17094044624404472,0.1,0.0,0.0,0.0551061678463094,0.030160189260125737,0.02255424751633043,0.0839231547017189,0.037390599905830615,0.024504777095171588
3,64,64,0.0005,0.0001,0.15,0.1,10,21.48684514652599,20.607385201887652,4.17191604050723,0.165138283575123,0.05,0.1,0.0,0.057633973710819006,0.030456051670111402,0.02223064824177059,0.0859453993933266,0.03748701435696854,0.024090779738254124
3,64,64,0.0005,0.0001,0.15,0.1,11,21.36374679478732,20.485622796145353,4.170603822578084,0.15856295908716592,0.0,0.05,0.05,0.056622851365015166,0.03012674344264486,0.022076773075256392,0.08695652173913043,0.037653170526908177,0.024062582113859005
3,64,64,0.0005,0.0001,0.15,0.1,12,21.173922755501486,20.29688912088221,4.170662950385701,0.1529416831379587,0.05,0.0,0.05,0.05611729019211325,0.030249963214468305,0.02241481695475629,0.08493427704752275,0.03743201283998984,0.024325905953061628
4,64,64,0.001,0.0001,0.15,0.1,1,25.292581861669365,24.37219936197454,4.215315444902941,0.46572667360305786,0.2,0.1,0.1,0.05915065722952477,0.030626962773697905,0.02202039899208757,0.08695652173913043,0.037499073955279065,0.023821972967195022
4,64,64,0.001,0.0001,0.15,0.1,2,23.765790939331055,22.873215545307506,4.181798149238933,0.2796493148939176,0.0,0.05,0.2,0.05611729019211325,0.03030455198846327,0.022444709262201677,0.08746208291203236,0.03819568762328218,0.02458993419960732
4,64,64,0.001,0.0001,0.15,0.1,3,23.141990835016426,22.257458426735617,4.1941253326155925,0.17735315148125996,0.2,0.05,0.1,0.05813953488372093,0.030680155342294332,0.022358242252074407,0.08695652173913043,0.03783276639782798,0.024249132662891443
4,64,64,0.001,0.0001,0.15,0.1,4,22.694895917719062,21.8156034079465,4.193506322123787,0.12849489201537587,0.05,0.2,0.2,0.057633973710819006,0.030423473415302174,0.02221540115877831,0.0859453993933266,0.03765125855019802,0.024233421439061185
4,64,64,0.001,0.0001,0.15,0.1,5,22.368240919980135,21.489591858603738,4.191677071831443,0.11323526577854698,0.05,0.1,0.2,0.06016177957532862,0.030989568382523633,0.02219714478309018,0.0884732052578362,0.038100828284408805,0.02411989853410105
4,64,64,0.001,0.0001,0.15,0.1,6,21.79860041358254,20.920718799937855,4.1875634301792495,0.10685991639779373,0.1,0.2,0.2,0.06167846309403438,0.03165362763720424,0.02267080745341615,0.08695652173913043,0.03796455695099981,0.02436221607173674
4,64,64,0.001,0.0001,0.15,0.1,7,21.60840095173229,20.730985966595735,4.184559421105818,0.10393147949468005,0.1,0.2,0.2,0.05915065722952477,0.031047424761388994,0.022507101930762195,0.08897876643073811,0.03854887143002865,0.024543096277824573
