variant,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
Anchor-only,0.06142941523922032,0.032223872517623625,0.023401213212199626,0.0915534554046072,0.039681021353364675,0.025364562672664324
Past-only,0.012404016538688719,0.005171106457659648,0.003031624147985636,0.02067336089781453,0.007202103147666917,0.003557929394418745
Future-only,0.005906674542232723,0.0024218312182552344,0.0013819743294049259,0.014176018901358535,0.004545010004022325,0.001980608551349665
Past+Future,0.011813349084465446,0.005167813413572711,0.0031492888551364635,0.019492025989367986,0.0070771764618645155,0.0036568754496243204
FIR-MIC without future bridge,0.060838747784997045,0.031963365202245485,0.023218621963453628,0.09037212049616067,0.03930196633412305,0.02516496899994602
Per-item + transition/association,0.06320141760189013,0.03422641016957888,0.025564415567368902,0.0980507974010632,0.04287587347461338,0.02785415716660105
FIR-MIC full,0.06024808033077377,0.03349667526898537,0.025378542832766103,0.09214412285883047,0.041581061076067766,0.027606907034809943
