dataset,model,seed,epoch,loss,validation_NDCG@20
baby,Static score-level,2022,1,4.795107274219908,0.04501156653035821
baby,Static score-level,2022,2,4.689334326776965,0.038365470816497486
baby,Static score-level,2022,3,4.56816185753921,0.04069753021387603
baby,Static score-level,2022,4,4.461784190145032,0.04044778410679801
baby,Static score-level,2022,5,4.367779756414479,0.04272243987125543
baby,Static score-level,2022,6,4.307547470618939,0.04254438931317431
baby,Static score-level,2022,7,4.2433973591903165,0.04284858342403099
baby,Static score-level,2022,8,4.1884821900006,0.04281249930177094
baby,Static score-level,2022,9,4.155979678548616,0.044600656206549585
baby,Static score-level,2022,10,4.116394700675175,0.04104902558830136
baby,Static score-level,2022,11,4.090770462463642,0.045414882128512045
baby,Static score-level,2022,12,4.041759733496042,0.041014103578600865
baby,Static score-level,2022,13,4.026515919586708,0.04434134142773309
baby,Static score-level,2022,14,4.010074578482529,0.04176795123337161
baby,Static score-level,2022,15,3.999007512783182,0.04390845762459509
baby,Static score-level,2022,16,3.9851435587323945,0.04075825720764526
baby,Static score-level,2022,17,3.9588248113106035,0.0390117458696279
baby,Static score-level,2022,18,3.9412840604782104,0.040192588238768104
baby,Static score-level,2022,19,3.938250923978871,0.04038405743960007
baby,Static score-level,2022,20,3.9094122977092347,0.042272094825385235
baby,Multi-interest per-item,2022,1,4.794166564941406,0.04624228613113148
baby,Multi-interest per-item,2022,2,4.690315369901986,0.042389082769754095
baby,Multi-interest per-item,2022,3,4.578267401662366,0.04517302551815669
baby,Multi-interest per-item,2022,4,4.487741174369023,0.04514927590352953
baby,Multi-interest per-item,2022,5,4.409194995617044,0.046588455430898644
baby,Multi-interest per-item,2022,6,4.363455772399902,0.044308146973840695
baby,Multi-interest per-item,2022,7,4.3192572141515795,0.045868403774259624
baby,Multi-interest per-item,2022,8,4.274057947356125,0.042594801307883574
baby,Multi-interest per-item,2022,9,4.246171634772728,0.047039476549022685
baby,Multi-interest per-item,2022,10,4.219522624180235,0.045666513245981005
baby,Multi-interest per-item,2022,11,4.202837183557707,0.04858499484755287
baby,Multi-interest per-item,2022,12,4.166740627124391,0.04591064775606236
baby,Multi-interest per-item,2022,13,4.157219594922559,0.0436054902890198
baby,Multi-interest per-item,2022,14,4.145176649093628,0.04251883703982472
baby,Multi-interest per-item,2022,15,4.136576890945435,0.043587177310728885
baby,Multi-interest per-item,2022,16,4.122347733070111,0.042145201257979804
baby,Multi-interest per-item,2022,17,4.101986309577679,0.04249263538819196
baby,Multi-interest per-item,2022,18,4.093672892142987,0.0436394883075746
baby,Multi-interest per-item,2022,19,4.090962097562593,0.04102278658262154
baby,Multi-interest per-item,2022,20,4.073003304415736,0.045313995251313854
baby,Multi-interest clustered,2022,1,4.794501592373026,0.04488806134673678
baby,Multi-interest clustered,2022,2,4.690278900080714,0.04055629818649468
baby,Multi-interest clustered,2022,3,4.578205001765284,0.04377860489822551
baby,Multi-interest clustered,2022,4,4.486357836887755,0.04277305350666166
baby,Multi-interest clustered,2022,5,4.407490697400323,0.04418368339115785
baby,Multi-interest clustered,2022,6,4.3611357623133165,0.04199858241981004
baby,Multi-interest clustered,2022,7,4.3170063742275895,0.04569282321059655
baby,Multi-interest clustered,2022,8,4.26894564875241,0.04248263137153528
baby,Multi-interest clustered,2022,9,4.24091469008347,0.04523566253562175
baby,Multi-interest clustered,2022,10,4.213955529804887,0.045649608351340985
baby,Multi-interest clustered,2022,11,4.195443515119882,0.046341387862118534
baby,Multi-interest clustered,2022,12,4.158772986510704,0.044871057790751394
baby,Multi-interest clustered,2022,13,4.149845012303056,0.04321691935967651
baby,Multi-interest clustered,2022,14,4.137228328606178,0.0398737106531037
baby,Multi-interest clustered,2022,15,4.1289526758522825,0.04281965982680012
baby,Multi-interest clustered,2022,16,4.1134229939559415,0.04188652349052167
baby,Multi-interest clustered,2022,17,4.092355534948152,0.042036162268620246
baby,Multi-interest clustered,2022,18,4.083903251023128,0.04353374605685868
baby,Multi-interest clustered,2022,19,4.0803120382900895,0.040607390886897306
baby,Multi-interest clustered,2022,20,4.061312441168161,0.0433371586291312
