epoch,loss,rank_loss,next_loss,route_loss
1,21.017641980693025,20.105753752068406,4.203208077628657,0.36188500852517363
2,19.47497292734542,18.595076025656933,4.146737566534078,0.17721858986143796
3,18.801044248185068,17.919391342613107,4.1560393639330595,0.1527152717956957
4,18.48053977174579,17.599382508475827,4.168619142388398,0.13397737543256777
5,18.07281863858115,17.190702006531076,4.177662363592184,0.1202857644068745
6,17.817744220202822,16.93603791774444,4.174634384659101,0.11702937949097382
7,17.599760379431384,16.717069207497364,4.175033258941938,0.11818535752453894
8,17.414974909908366,16.531788190551936,4.175476285646546,0.11982684687904592
9,17.322473714936454,16.43944553159318,4.17293254834301,0.12098556159521048
10,17.28069728275515,16.397727592936103,4.17111728776176,0.12350238423864797
11,17.059928372221172,16.177040770368755,4.169910466895913,0.1240822748755509
12,16.896873271690225,16.0143538488532,4.169869782789698,0.12332097384727227
13,16.847650263669355,15.965867153333747,4.168784852297801,0.12084815517630217
14,16.757061405001945,15.875057458877563,4.170203312388006,0.12157680515973072
15,16.583828674172455,15.701786248189098,4.170929364438327,0.12145690978416857
16,16.454424971679472,15.572309854211953,4.1719263499637815,0.12134540045879921
17,16.511875728391253,15.629775155265376,4.171583081191441,0.1216940572661049
18,16.31485328134501,15.432894726969161,4.172850608825684,0.12045827992963341
19,16.274562889674925,15.393062154077134,4.172592855849356,0.11956676559628181
20,16.1989488421746,15.317326203832087,4.173758002946961,0.11903509701479156
