model,lambda_z,lambda_next,lambda_fine,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
Anchor,0,0,0,0.06873508353221958,0.04370372463879622,0.03603004129257112,0.09880668257756563,0.05127623693350676,0.03809430163099152
Anchor+fine,0,0,0.2,0.07016706443914081,0.043889998695747376,0.03584555063075349,0.0954653937947494,0.050231339945248574,0.03755791517955597
Anchor+future-no-router,0,0.1,0.2,0.07350835322195703,0.046316246704931084,0.038023828465355916,0.09832935560859188,0.05251140931741228,0.03968262047804228
Anchor+router,0.05,0,0.2,0.07064439140811456,0.044434700248939585,0.036389173012084705,0.09498806682577565,0.05053757645830084,0.038037931723860184
Full FIR-MIC,0.05,0.1,0.2,0.07398568019093078,0.04564629007808529,0.03699321892639315,0.09785202863961814,0.05159618442652824,0.03858089658678189
