epoch,loss,rank_loss,next_loss,route_loss
1,29.143606879494406,28.509101780978117,2.3322090560739692,0.6873645755377683
2,28.110563538291238,27.600201390006326,1.6276960549029438,0.6984183795072816
3,27.564916719089855,27.032260396263815,1.7827157405289737,0.6844647005200386
4,27.299081585624002,26.73632901365107,1.99582247977907,0.6569166102192618
5,26.981878952546552,26.389478119936857,2.22943215072155,0.6065880920399319
6,26.660532864657316,26.008134473453868,2.731769873337312,0.4646926434202628
7,26.2167950110002,25.536091110923074,2.935405980456959,0.4216356887058778
8,26.036412000656128,25.348805405876853,2.9712352563034403,0.42245487665588205
9,25.8447969826785,25.147654685107145,3.0440471687100152,0.3928758441047235
10,25.715029283003375,25.008439800956033,3.1075951646674764,0.37494219500910153
11,25.430039037357677,24.718037041750822,3.1474924466826697,0.36079717258160765
12,25.526487307115033,24.805258209055122,3.20843551104719,0.3423440039835193
