variant,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20,train_seconds,inference_ms_per_user,trainable_parameters,peak_cuda_memory_mb
FIR-MIC full,0.05906674542232723,0.03235605966935611,0.02422322541932701,0.09450679267572357,0.04134740632374025,0.02670862045822043,112.48163221700088,0.9030524099218712,363155,510.69775390625
FIR-MIC image-only,0.030124040165386886,0.017675058857598264,0.013856542814014756,0.04134672179562906,0.020453324019256446,0.01458781329207085,99.21696418200008,0.9129717277034051,363155,806.38525390625
FIR-MIC text-only,0.06320141760189013,0.03307488500051046,0.024001490732146375,0.0939161252215003,0.04078776085926051,0.02608924315916685,96.70126907000304,0.8407928151199991,363155,768.95166015625
