dataset,model,gap_quartile,gap_group,n_seeds,n_users,mean_gap,Recall@10_mean,Recall@10_sd,NDCG@10_mean,NDCG@10_sd,MRR@10_mean,MRR@10_sd,Recall@20_mean,Recall@20_sd,NDCG@20_mean,NDCG@20_sd,MRR@20_mean,MRR@20_sd
sports,FIR-MIC,1,Q1-low,5,424,0.5020839626777847,0.23632075471698114,0.003875395454045986,0.12886492775190705,0.000971011654918355,0.09638682988918837,0.0012436273178585014,0.36650943396226415,0.006794745420230153,0.1617024793530712,0.0019971216966306908,0.1053578080598679,0.0015588999469579455
sports,FIR-MIC,2,Q2,5,423,0.6561042476912199,0.002364066193853428,0.0,0.0008431023825609346,0.00019215348337986126,0.0004043303688693759,0.00021679539426494005,0.01182033096926714,0.0,0.0032181324563156644,0.0002156821183089981,0.0010469964480460056,0.00023574211064145522
sports,FIR-MIC,3,Q3,5,423,0.7347282697193448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sports,FIR-MIC,4,Q4-high,5,423,0.8174896071979834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sports,Multi-interest clustered,1,Q1-low,5,424,0.5020839626777847,0.20283018867924527,0.005003114017829344,0.11416342448083286,0.0012180818854311273,0.08745882000598981,0.00228617041886711,0.2957547169811321,0.009666934684867536,0.13749174345995283,0.0016187583860070981,0.09378038230486534,0.002219288363172619
sports,Multi-interest clustered,2,Q2,5,423,0.6561042476912199,0.02836879432624113,0.006027209826941826,0.011768832451202279,0.002219680849089589,0.006810199257007768,0.0014306120118258597,0.057683215130023634,0.00593375905343316,0.01905987906188116,0.002158645949772233,0.008748654217387061,0.0014290377492371029
sports,Multi-interest clustered,3,Q3,5,423,0.7347282697193448,0.0014184397163120566,0.0012948523818089033,0.00042816061407451435,0.0003914795594533754,0.0001589177830312582,0.00014657469307690336,0.014657210401891252,0.006560017458870737,0.0036448513451424218,0.0016059390115136323,0.0009757375395343909,0.00042313057241039813
sports,Multi-interest clustered,4,Q4-high,5,423,0.8174896071979834,0.0014184397163120566,0.002114485085106184,0.0004791699148368915,0.0007027188017794852,0.00021013921723141583,0.0003023605052067596,0.006619385342789598,0.00197791968447772,0.0017676405956683666,0.000680881807602213,0.0005503879661818312,0.0003143710052870287
sports,Multi-interest per-item,1,Q1-low,5,424,0.5020839626777847,0.20707547169811322,0.012853232635319536,0.11701071580048386,0.005136790136090202,0.08992718628331836,0.004696937000501373,0.30613207547169813,0.011359994885653106,0.1419261706286347,0.004755195332749352,0.09669773639016511,0.004657219208738995
sports,Multi-interest per-item,2,Q2,5,423,0.6561042476912199,0.028841607565011824,0.006972993476951597,0.011508400811180385,0.0028569991557933746,0.006371908889639387,0.001919642967423034,0.05484633569739953,0.007733062521889423,0.018005057212606174,0.002873696991547798,0.008115530498772708,0.0018807318893457141
sports,Multi-interest per-item,3,Q3,5,423,0.7347282697193448,0.0018912529550827422,0.001057242542553092,0.0005761488717624928,0.0003224157992798424,0.00021670606776989757,0.00012197383517866237,0.012765957446808512,0.004294539509358144,0.0032946760347114523,0.0011410005008250033,0.0009464700821221033,0.0003512088977595993
sports,Multi-interest per-item,4,Q4-high,5,423,0.8174896071979834,0.00047281323877068556,0.001057242542553092,0.00016841947380993955,0.00037659739217377035,7.880220646178092e-05,0.00017620709042551533,0.0056737588652482265,0.004294539509358144,0.001469421797310022,0.0011778679828470032,0.00042874968851518494,0.0003900881734248349
sports,Static score-level,1,Q1-low,5,424,0.5020839626777847,0.17830188679245282,0.010494620500607078,0.1007755280608889,0.00632800484385079,0.07733528002395926,0.005724018800152221,0.2632075471698113,0.008918712453391058,0.1220736870886896,0.005335718109614383,0.08308562072043073,0.005467084182030569
sports,Static score-level,2,Q2,5,423,0.6561042476912199,0.031205673758865245,0.006119233619642925,0.015277732619135417,0.002614485424617898,0.010467184509737701,0.0018508864613830183,0.06666666666666667,0.005390900355078667,0.024144603656702183,0.002472334486132577,0.012847317721667237,0.0019022193438558578
sports,Static score-level,3,Q3,5,423,0.7347282697193448,0.006146572104018913,0.002114485085106184,0.0025136268577466508,0.0010596099380047281,0.0014636571728770312,0.0009012165693192402,0.019858156028368795,0.00395583936895544,0.005879331692421287,0.001355789707727802,0.002333639421446549,0.0009282295073539359
sports,Static score-level,4,Q4-high,5,423,0.8174896071979834,0.0014184397163120566,0.002114485085106184,0.0006703609923181432,0.0009271385375180089,0.00043341213553979504,0.0005975473163161189,0.006146572104018913,0.0026954501775393333,0.0018458805670184333,0.0009453029781444233,0.0007452510844909237,0.0006011406670827799
