dataset,seed,group,n_users,average_history_length,average_interest_diversity,gain_pct_Recall@10,gain_pct_NDCG@10,gain_pct_MRR@10,gain_pct_Recall@20,gain_pct_NDCG@20,gain_pct_MRR@20
sports,2022,High,522,3.157088122605364,0.8393191992201738,-17.857142857142865,-2.217116218298605,13.430885811340445,-13.043478260869565,-2.41177180669399,12.05350367218122
sports,2022,Low,522,3.17816091954023,0.5924905502590639,22.857142857142865,13.490033476886373,7.797973224246922,11.864406779661032,9.83840819696113,7.050091341681552
sports,2022,Medium,522,3.8908045977011496,0.7442105638855262,-26.47058823529411,-12.749949645365165,0.05781540367542002,0.0,2.4450143406333225,6.789722096877633
sports,2022,Single-history,127,1.0,,50.0,23.626504806266393,11.773049645390078,0.0,6.2178938976621945,7.018233497626316
sports,2023,High,522,3.157088122605364,0.8393191992201738,-14.28571428571429,-7.393483216204602,-0.27978860416573975,-6.8181818181818254,-3.9594866524681795,0.8071046981249691
sports,2023,Low,522,3.17816091954023,0.5924905502590639,22.22222222222223,8.650442663644018,0.6485550109852903,13.333333333333327,6.780029501311651,0.5108376622811651
sports,2023,Medium,522,3.8908045977011496,0.7442105638855262,-13.793103448275856,-7.260759639130238,-2.710942649967067,-6.521739130434775,-2.856543480980642,0.03081845267315871
sports,2023,Single-history,127,1.0,,14.285714285714285,20.12757566290388,24.95934959349591,-40.0,-15.104416574316753,8.318935884842297
sports,2024,High,522,3.157088122605364,0.8393191992201738,-7.142857142857151,-1.588400885784449,6.078298257524334,2.5641025641025483,3.458542649425843,7.852465268417205
sports,2024,Low,522,3.17816091954023,0.5924905502590639,4.761904761904768,1.9381496522053638,-0.8167799268165263,13.333333333333327,6.987630525181219,1.3302874603453312
sports,2024,Medium,522,3.8908045977011496,0.7442105638855262,-14.28571428571429,-9.45301632356265,-6.178588058311551,-2.173913043478248,-2.792266428243553,-3.158730134388483
sports,2024,Single-history,127,1.0,,40.0,13.712630092440284,3.8518518518518596,-33.33333333333333,-16.515818249358166,-6.516410998066456
sports,2025,High,522,3.157088122605364,0.8393191992201738,23.809523809523803,5.023691668620263,-6.466032308032749,-4.9999999999999885,-6.366908486490802,-9.443158851112257
sports,2025,Low,522,3.17816091954023,0.5924905502590639,7.894736842105253,12.296230529223255,14.448521811039901,9.83606557377049,11.005815637408228,12.510285586887989
sports,2025,Medium,522,3.8908045977011496,0.7442105638855262,3.703703703703708,-1.9837810605073114,-6.547251389746757,4.2553191489361755,-0.9176602690670056,-6.171156043944443
sports,2025,Single-history,127,1.0,,28.57142857142857,4.121933515897866,-7.273678702250117,-16.666666666666664,-12.352410155721442,-12.212405057685077
