model,lambda_z,lambda_next,lambda_fine,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
Anchor,0,0,0,0.046052631578947366,0.025346830798690195,0.019069157268170427,0.0756578947368421,0.03284971062985241,0.0211336610339966
Anchor+fine,0,0,0.2,0.049342105263157895,0.02564482853653743,0.018511774227234754,0.08388157894736842,0.033970954226988814,0.02058463105748017
Anchor+future-no-router,0,0.0,0.2,0.049342105263157895,0.02564482853653743,0.018511774227234754,0.08388157894736842,0.033970954226988814,0.02058463105748017
Anchor+router,0.05,0,0.2,0.046052631578947366,0.02494639458553886,0.01858487364243943,0.08717105263157894,0.03501950363146583,0.0211796412773198
Full FIR-MIC,0.05,0.0,0.2,0.046052631578947366,0.02494639458553886,0.01858487364243943,0.08717105263157894,0.03501950363146583,0.0211796412773198
