model,lambda_z,lambda_next,lambda_fine,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
Anchor,0,0,0,0.046052631578947366,0.025346830798690195,0.019069157268170427,0.0756578947368421,0.03284971062985241,0.0211336610339966
Anchor+fine,0,0,0.2,0.046052631578947366,0.02574409409323908,0.019624582289055975,0.07730263157894737,0.03356919377802294,0.021732842285751383
Anchor+future-no-router,0,0.0,0.2,0.046052631578947366,0.02574409409323908,0.019624582289055975,0.07730263157894737,0.03356919377802294,0.021732842285751383
Anchor+router,0.05,0,0.2,0.044407894736842105,0.02500708708921868,0.019172279657477025,0.07894736842105263,0.033719612617180796,0.021552862172770106
Full FIR-MIC,0.05,0.0,0.2,0.044407894736842105,0.02500708708921868,0.019172279657477025,0.07894736842105263,0.033719612617180796,0.021552862172770106
