variant,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
Anchor-only,0.06873508353221958,0.04370372463879622,0.03603004129257112,0.09880668257756563,0.05127623693350676,0.03809430163099152
Past-only,0.00954653937947494,0.004712436237564122,0.003284842974580445,0.016229116945107397,0.006380910707377181,0.00373078847126964
Future-only,0.005727923627684964,0.002697399245674747,0.0018144107284918743,0.00954653937947494,0.003651332268918201,0.0020703685903705115
Past+Future,0.0076372315035799524,0.0037439558400500727,0.0025701784293669736,0.014797136038186158,0.005523566158496414,0.0030428735035568344
FIR-MIC without future bridge,0.0711217183770883,0.043808710384078076,0.03545876425351366,0.0964200477326969,0.05010321129337052,0.03713622032051212
Per-item + transition/association,0.07064439140811456,0.04436110066354687,0.03627457665643824,0.10214797136038187,0.052195651066829225,0.03835669636459516
FIR-MIC full,0.0711217183770883,0.04479719014422341,0.03669375307800129,0.10119331742243437,0.05227324491634882,0.03867845704134006
