model,lambda_z,lambda_next,lambda_fine,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
Anchor,0,0,0,0.046052631578947366,0.025346830798690195,0.019069157268170427,0.0756578947368421,0.03284971062985241,0.0211336610339966
Anchor+fine,0,0,0.2,0.046052631578947366,0.024882548609203716,0.018512426900584793,0.07730263157894737,0.032750283555518164,0.020655422284882933
Anchor+future-no-router,0,0.0,0.2,0.046052631578947366,0.024882548609203716,0.018512426900584793,0.07730263157894737,0.032750283555518164,0.020655422284882933
Anchor+router,0.0,0,0.2,0.046052631578947366,0.024882548609203716,0.018512426900584793,0.07730263157894737,0.032750283555518164,0.020655422284882933
Full FIR-MIC,0.0,0.0,0.2,0.046052631578947366,0.024882548609203716,0.018512426900584793,0.07730263157894737,0.032750283555518164,0.020655422284882933
