variant,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20,train_seconds,inference_ms_per_user,trainable_parameters,peak_cuda_memory_mb
FIR-MIC full,0.047697368421052634,0.025125171995646175,0.018241567460317458,0.0756578947368421,0.03201358251377296,0.020035884157133855,16.736175243999924,0.6631019490135103,371379,313.2294921875
FIR-MIC image-only,0.03453947368421053,0.016843281013742842,0.011705043859649123,0.06743421052631579,0.0249284121421952,0.01380419297357541,15.326550841000198,0.6836440378290681,371379,420.97412109375
FIR-MIC text-only,0.049342105263157895,0.02583214670723032,0.018833542188805345,0.07730263157894737,0.03269573733969546,0.020611799686087815,15.27219230300011,0.8045385740130865,371379,341.2802734375
