dataset,seed,group,n_users,average_history_length,average_interest_diversity,gain_pct_Recall@10,gain_pct_NDCG@10,gain_pct_MRR@10,gain_pct_Recall@20,gain_pct_NDCG@20,gain_pct_MRR@20
clothing,2022,High,648,2.7978395061728394,0.7061748805766305,-17.94871794871795,-10.262774484555237,-5.7415088915355845,-20.000000000000007,-12.660712464628855,-7.081585320713082
clothing,2022,Low,649,2.8397534668721107,0.43276637002756857,-1.4492753623188486,7.096788342972416,12.52331879527063,6.451612903225823,10.3853046359416,13.790986588191226
clothing,2022,Medium,649,3.420647149460709,0.6019340089087494,14.70588235294118,22.364341865591648,27.22630524004962,0.0,13.371147867834566,23.63204983912946
clothing,2022,Single-history,149,1.0,,0.0,18.9358482980669,30.244722585466086,-14.285714285714294,9.381551618711326,26.151462381220078
clothing,2023,High,648,2.7978395061728394,0.7061748805766305,-20.0,-10.652886623004806,-5.284926470588258,-18.51851851851852,-11.230149555484545,-5.833412162943932
clothing,2023,Low,649,2.8397534668721107,0.43276637002756857,-5.714285714285706,-0.9253247909693303,2.134741051399594,-4.999999999999992,-0.9649481196869849,2.2033935396549094
clothing,2023,Medium,649,3.420647149460709,0.6019340089087494,16.666666666666657,17.437297455637037,18.87456553301949,9.615384615384617,13.998111050166832,17.63554301342861
clothing,2023,Single-history,149,1.0,,0.0,12.27385990121703,19.061632893298587,-21.428571428571427,-1.0230641186319098,12.728246473623674
clothing,2024,High,648,2.7978395061728394,0.7061748805766305,-6.0606060606060606,-8.626350797394998,-10.479166254672041,-6.122448979591845,-8.543344002170477,-10.535327781784508
clothing,2024,Low,649,2.8397534668721107,0.43276637002756857,-1.3888888888888966,3.511811084218122,6.635913699485865,-3.061224489795917,2.0845361359866432,5.996467763798736
clothing,2024,Medium,649,3.420647149460709,0.6019340089087494,0.0,11.561506557134477,18.65738951166087,3.508771929824565,11.535291359439155,18.315628207253067
clothing,2024,Single-history,149,1.0,,10.000000000000005,26.08067945370649,34.625597450876256,-21.428571428571427,6.432560219676649,25.713522773774265
clothing,2025,High,648,2.7978395061728394,0.7061748805766305,-11.764705882352942,-6.314277727258745,-3.9308584285219763,-20.754716981132084,-12.096956633827421,-6.499242734734151
clothing,2025,Low,649,2.8397534668721107,0.43276637002756857,1.4492753623188355,1.2833151881078726,0.7562298938877461,-3.125000000000017,-0.9458695128474987,-0.022306440476857807
clothing,2025,Medium,649,3.420647149460709,0.6019340089087494,8.333333333333329,16.342316487822487,21.55971683032658,0.0,10.527317447499916,19.146200298997094
clothing,2025,Single-history,149,1.0,,0.0,13.618167436587983,21.357602070635345,-14.285714285714294,4.786992054989825,17.6362031613576
