seed,gap_quartile,delta_Recall@10,gain_pct_Recall@10,delta_NDCG@10,gain_pct_NDCG@10,delta_MRR@10,gain_pct_MRR@10,delta_Recall@20,gain_pct_Recall@20,delta_NDCG@20,gain_pct_NDCG@20,delta_MRR@20,gain_pct_MRR@20
2022,1,0.0038167938931297773,1.3698630136986323,0.01552276532055083,9.29714676015654,0.018575820913607127,13.994420260501911,0.020992366412213748,5.72916666666667,0.020163878367646104,10.673348276835974,0.020006935057421904,14.431137244080112
2022,2,-0.005725190839694657,-60.00000000000001,-0.002611716783416685,-66.08565489754064,-0.0016562159214830972,-72.75449101796409,-0.02480916030534351,-65.0,-0.007404793663539995,-66.630145986996,-0.0029584924718364792,-70.37735225237915
2022,3,-0.003816793893129771,-100.0,-0.0012899191480008198,-100.00000000000001,-0.0005725190839694658,-100.0,-0.007633587786259542,-100.0,-0.002189138002443359,-100.0,-0.0007852196724410938,-100.00000000000001
2022,4,0.0,nan,0.0,nan,0.0,nan,-0.0019120458891013384,-100.0,-0.0005021979637422439,-100.0,-0.00014708045300779526,-100.0
2023,1,0.0,0.0,0.007765174985884776,4.49118783593458,0.009997122258572633,7.196397712591102,0.011450381679389332,3.092783505154644,0.010878272704918923,5.592070993274189,0.010969124529377872,7.574332653793288
2023,2,-0.011450381679389313,-75.0,-0.004486194939782616,-78.37025205788831,-0.00237262207682055,-82.27415966386555,-0.026717557251908393,-66.66666666666667,-0.008366123553749131,-70.32853331267948,-0.003450190575527351,-76.23624068948897
2023,3,0.0,nan,0.0,nan,0.0,nan,-0.007633587786259542,-100.0,-0.0019163927114160266,-100.0,-0.0005168575063613231,-100.0
2023,4,0.0,nan,0.0,nan,0.0,nan,-0.0019120458891013384,-100.0,-0.0004894034891201061,-100.0,-0.0001365747063643813,-100.0
2024,1,0.009541984732824416,3.472222222222218,0.012733391001536587,7.397922862472462,0.013333030413183067,9.456744765649326,0.020992366412213748,5.789473684210529,0.01573167804393527,8.08885615433844,0.0142170381890592,9.657620660113887
2024,2,-0.011450381679389313,-75.0,-0.005196734855105978,-80.33289948828562,-0.0034086089906700595,-86.20953840260486,-0.020992366412213737,-52.38095238095237,-0.007925533862382726,-61.470516806357956,-0.004323182646924759,-74.57191246259374
2024,3,0.0,nan,0.0,nan,0.0,nan,-0.0057251908396946565,-99.99999999999999,-0.0013329925103630334,-100.0,-0.0003074639525021204,-100.0
2024,4,-0.0019120458891013384,-100.0,-0.000575583165705509,-100.0,-0.00021244954323348204,-100.00000000000001,-0.0076481835564053535,-100.0,-0.0020257170594247067,-100.0,-0.000608577990199855,-100.0
2025,1,0.013358778625954248,4.964539007092218,0.011537376494622636,6.858905847608079,0.010500727008360577,7.633360858794371,0.007633587786259555,2.0408163265306154,0.01027200198149869,5.274235947750175,0.010243944935484806,7.071591387358979
2025,2,-0.009541984732824428,-71.42857142857143,-0.0036341154725296797,-75.5434040021434,-0.0018834060341693926,-80.69435431537963,-0.026717557251908393,-66.66666666666667,-0.008156022837658875,-70.11209451389603,-0.003220169190069102,-75.88435482195213
2025,3,-0.003816793893129771,-100.0,-0.0011536826395107187,-100.0,-0.0004293893129770992,-100.00000000000001,-0.007633587786259542,-100.0,-0.0020800355276149904,-100.0,-0.000662637828668363,-100.00000000000001
2025,4,0.0,nan,0.0,nan,0.0,nan,-0.0038240917782026767,-100.0,-0.0009030990264152562,-100.0,-0.00021510516252390058,-100.0
2026,1,0.011450381679389332,4.026845637583899,0.006756169634272613,3.8181072011603674,0.005198867078638036,3.6002349461406706,0.02290076335877861,6.3492063492063435,0.009548273255453349,4.867985400691768,0.005913816296854585,3.9526459579991498
2026,2,-0.015267175572519083,-100.0,-0.005218720376421816,-100.0,-0.0023529322670544045,-100.0,-0.026717557251908393,-73.6842105263158,-0.008117103895418467,-77.42806389873496,-0.003151536394422742,-83.435501965529
2026,3,-0.0019083969465648854,-100.0,-0.0005744847245495824,-100.0,-0.00021204410517387616,-100.0,-0.009541984732824428,-100.0,-0.002469491033258614,-100.0,-0.0007138552488090454,-99.99999999999999
2026,4,-0.0019120458891013384,-100.0,-0.0006373486297004461,-100.00000000000001,-0.0002731494127287626,-100.0,-0.0019120458891013384,-100.0,-0.0006373486297004461,-100.00000000000001,-0.0002731494127287626,-100.0
