model,lambda_z,lambda_next,lambda_fine,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
Anchor,0,0,0,0.046052631578947366,0.025346830798690195,0.019069157268170427,0.0756578947368421,0.03284971062985241,0.0211336610339966
Anchor+fine,0,0,0.2,0.046052631578947366,0.025152261358863903,0.018818530701754387,0.07730263157894737,0.032856714876991974,0.020832644747334844
Anchor+future-no-router,0,0.0,0.2,0.046052631578947366,0.025152261358863903,0.018818530701754387,0.07730263157894737,0.032856714876991974,0.020832644747334844
Anchor+router,0.1,0,0.2,0.04276315789473684,0.023848379015145138,0.01809797932330827,0.0805921052631579,0.033273446738363466,0.020616563117734292
Full FIR-MIC,0.1,0.0,0.2,0.04276315789473684,0.023848379015145138,0.01809797932330827,0.0805921052631579,0.033273446738363466,0.020616563117734292
