epoch,loss,rank_loss,next_loss,route_loss
1,32.7259129010714,31.93267528827374,3.4247541977809024,0.5336678222968028
2,31.144318360548752,30.379450357877293,3.4345845259152927,0.4195808263925406
3,30.144932453448956,29.38957830575796,3.4150384481136618,0.33980406247652495
4,29.905730907733624,29.156873849722054,3.3933652822787943,0.2950566044220558
