trial,intents,dim,learning_rate,weight_decay,dropout,router_dropout,best_epoch,epochs_ran,validation_NDCG@10,validation_Recall@10,validation_MRR@10,validation_Recall@20,validation_NDCG@20,validation_MRR@20,lambda_z,lambda_next,lambda_fine,trial_seconds,intent_initialization
1,32,64,0.0005,0.0001,0.15,0.1,1,6,0.05290424126708623,0.08571428571428572,0.04285236901778255,0.12781954887218044,0.06330266262796562,0.045575054544478875,0.1,0.1,0.2,72.31763799300006,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 219, ""min_warm_cluster"": 35}"
2,32,64,0.001,0.0001,0.15,0.1,4,9,0.053409869272328075,0.09022556390977443,0.04226279985678482,0.12330827067669173,0.06142083578208191,0.044278593563609504,0.0,0.2,0.2,105.73191279699859,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 219, ""min_warm_cluster"": 35}"
3,64,64,0.0005,0.0001,0.15,0.1,1,6,0.05191803575684871,0.0887218045112782,0.04078828022437045,0.12481203007518797,0.060770560593426004,0.04307341240352949,0.05,0.2,0.0,71.13570495800013,"{""fit_items"": ""warm-only"", ""intents"": 64, ""max_warm_cluster"": 120, ""min_warm_cluster"": 7}"
4,64,64,0.001,0.0001,0.15,0.1,1,6,0.051769848542428755,0.09022556390977443,0.040247642916815846,0.12481203007518797,0.06021722877617705,0.04241204106150916,0.2,0.1,0.05,70.55754332600009,"{""fit_items"": ""warm-only"", ""intents"": 64, ""max_warm_cluster"": 120, ""min_warm_cluster"": 7}"
