dataset,seed,scope,variant,n_users,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
baby,2022,Overall,Past-only,608,0.02138157894736842,0.011318436575673654,0.008374451754385965,0.039473684210526314,0.01588130496506049,0.009621342101966796
baby,2022,Overall,Future-only,608,0.023026315789473683,0.010041195045581038,0.006142308897243108,0.046052631578947366,0.01583740584281985,0.007720024930248268
baby,2022,Overall,Past+Future,608,0.018092105263157895,0.010328206326778978,0.008008954678362571,0.04111842105263158,0.016256352499054726,0.009693495296955863
baby,2022,Overall,FIR-MIC full,608,0.047697368421052634,0.025125171995646175,0.018241567460317458,0.0756578947368421,0.03201358251377296,0.020035884157133855
baby,2022,Q4-high,Past-only,152,0.02631578947368421,0.01768343949275344,0.015204678362573098,0.05921052631578947,0.02613412407861918,0.017592099344176906
baby,2022,Q4-high,Future-only,152,0.07894736842105263,0.034330222239991645,0.021060463659147866,0.1118421052631579,0.04291017487819931,0.023562326120324734
baby,2022,Q4-high,Past+Future,152,0.02631578947368421,0.017778405815922833,0.015296052631578948,0.07236842105263158,0.029482855048097327,0.018546946762840112
baby,2022,Q4-high,FIR-MIC full,152,0.0,0.0,0.0,0.0,0.0,0.0
baby,2023,Overall,Past-only,608,0.019736842105263157,0.008749284696897742,0.005548376148705096,0.046052631578947366,0.015148789321425108,0.007173488180342099
baby,2023,Overall,Future-only,608,0.01644736842105263,0.007843481532277813,0.0053656276106934,0.03618421052631579,0.01270703207088945,0.006634362817593122
baby,2023,Overall,Past+Future,608,0.019736842105263157,0.008993287088250484,0.005863617376775272,0.04276315789473684,0.01462653135943739,0.007307417948623443
baby,2023,Overall,FIR-MIC full,608,0.047697368421052634,0.025953904718593487,0.01942943295739348,0.07894736842105263,0.0336513637777841,0.02143266513136258
baby,2023,Q4-high,Past-only,152,0.006578947368421052,0.003289473684210526,0.0021929824561403508,0.02631578947368421,0.008254612915221561,0.003539409184726522
baby,2023,Q4-high,Future-only,152,0.03289473684210526,0.01573590923987912,0.01075344611528822,0.08552631578947369,0.028807024592092435,0.014211062381483596
baby,2023,Q4-high,Past+Future,152,0.013157894736842105,0.006131314139706834,0.004020467836257311,0.02631578947368421,0.009392962109298589,0.004877389552312153
baby,2023,Q4-high,FIR-MIC full,152,0.0,0.0,0.0,0.0,0.0,0.0
baby,2024,Overall,Past-only,608,0.018092105263157895,0.008540061756920079,0.005669120718462824,0.03618421052631579,0.013027047376977524,0.006855638781164791
baby,2024,Overall,Future-only,608,0.018092105263157895,0.008540061756920079,0.005669120718462824,0.03618421052631579,0.013010291565411948,0.006842738884363965
baby,2024,Overall,Past+Future,608,0.018092105263157895,0.008540061756920079,0.005669120718462824,0.03618421052631579,0.013027047376977524,0.006855638781164791
baby,2024,Overall,FIR-MIC full,608,0.047697368421052634,0.025836370616587074,0.01923167293233083,0.07072368421052631,0.03166697641941502,0.02083422300331519
baby,2024,Q4-high,Past-only,152,0.03289473684210526,0.017949164330996824,0.013392857142857142,0.09210526315789473,0.03262139363277744,0.017261736411208872
baby,2024,Q4-high,Future-only,152,0.03289473684210526,0.017949164330996824,0.013392857142857142,0.09210526315789473,0.032554370386515145,0.01721013682400557
baby,2024,Q4-high,Past+Future,152,0.03289473684210526,0.017949164330996824,0.013392857142857142,0.09210526315789473,0.03262139363277744,0.017261736411208872
baby,2024,Q4-high,FIR-MIC full,152,0.0,0.0,0.0,0.0,0.0,0.0
baby,2025,Overall,Past-only,608,0.03125,0.014587897664979631,0.009730706975772765,0.06414473684210527,0.02287607299211811,0.011985051798058458
baby,2025,Overall,Future-only,608,0.018092105263157895,0.008577053569408119,0.005648887844611528,0.047697368421052634,0.015902257683923577,0.007577204142606621
baby,2025,Overall,Past+Future,608,0.027960526315789474,0.013573925835292608,0.009342366332497912,0.06414473684210527,0.02266634445897031,0.01179960517661145
baby,2025,Overall,FIR-MIC full,608,0.049342105263157895,0.0255161734807758,0.018324456975772764,0.07072368421052631,0.03095521102568735,0.019831536623319556
baby,2025,Q4-high,Past-only,152,0.039473684210526314,0.020069204672416806,0.014290935672514622,0.08552631578947369,0.03175558496594415,0.01751764249727424
baby,2025,Q4-high,Future-only,152,0.039473684210526314,0.021389123895303987,0.01574248120300752,0.10526315789473684,0.03812393574797296,0.02038234598219118
baby,2025,Q4-high,Past+Future,152,0.039473684210526314,0.020085452776204004,0.01430921052631579,0.08552631578947369,0.03172093522918938,0.017484659269631567
baby,2025,Q4-high,FIR-MIC full,152,0.0,0.0,0.0,0.0,0.0,0.0
baby,2026,Overall,Past-only,608,0.02138157894736842,0.009407034492830223,0.005859048663324979,0.044407894736842105,0.01514676187042472,0.007393354733196575
baby,2026,Overall,Future-only,608,0.023026315789473683,0.009882470062432012,0.0060235223475355055,0.044407894736842105,0.015177726791297367,0.007420767013898328
baby,2026,Overall,Past+Future,608,0.02138157894736842,0.009369413022806063,0.0058198882623224715,0.044407894736842105,0.015109140400400562,0.007354194332194067
baby,2026,Overall,FIR-MIC full,608,0.046052631578947366,0.02578112961521964,0.019544956140350876,0.07401315789473684,0.03279316614973452,0.02144462397264306
baby,2026,Q4-high,Past-only,152,0.06578947368421052,0.030759124879172563,0.020292919799498748,0.11842105263157894,0.044210614401852213,0.02406224920635463
baby,2026,Q4-high,Future-only,152,0.06578947368421052,0.0309096107592692,0.020449561403508773,0.11842105263157894,0.044361100281948854,0.024218890810364657
baby,2026,Q4-high,Past+Future,152,0.06578947368421052,0.030759124879172563,0.020292919799498748,0.11842105263157894,0.044210614401852213,0.02406224920635463
baby,2026,Q4-high,FIR-MIC full,152,0.0,0.0,0.0,0.0,0.0,0.0
baby,2027,Overall,Past-only,608,0.027960526315789474,0.012856612165100057,0.008384894527986634,0.05756578947368421,0.02020412141231112,0.01032681655504798
baby,2027,Overall,Future-only,608,0.019736842105263157,0.009878945233584556,0.006798245614035087,0.03618421052631579,0.014029461808814772,0.007933003171477285
baby,2027,Overall,Past+Future,608,0.027960526315789474,0.012856612165100057,0.008384894527986634,0.05756578947368421,0.02020412141231112,0.01032681655504798
baby,2027,Overall,FIR-MIC full,608,0.047697368421052634,0.02619083694875737,0.019685933583959897,0.07401315789473684,0.032747343025581306,0.021434429005501496
baby,2027,Q4-high,Past-only,152,0.019736842105263157,0.012211889388868566,0.009868421052631578,0.05263157894736842,0.020396114700382578,0.012037216202270381
baby,2027,Q4-high,Future-only,152,0.06578947368421052,0.03368122299200572,0.02368421052631579,0.1118421052631579,0.045443927727491853,0.026979322136004964
baby,2027,Q4-high,Past+Future,152,0.019736842105263157,0.012211889388868566,0.009868421052631578,0.05263157894736842,0.020396114700382578,0.012037216202270381
baby,2027,Q4-high,FIR-MIC full,152,0.0,0.0,0.0,0.0,0.0,0.0
baby,2028,Overall,Past-only,608,0.024671052631578948,0.01075999368441718,0.006658573517126148,0.05921052631578947,0.01932275195368365,0.008927415518902096
baby,2028,Overall,Future-only,608,0.02138157894736842,0.009007996272162509,0.005381291771094403,0.044407894736842105,0.014824699435021124,0.006979445223905058
baby,2028,Overall,Past+Future,608,0.02631578947368421,0.010944649560375708,0.006429485171261487,0.047697368421052634,0.01631808095428874,0.007886404719076931
baby,2028,Overall,FIR-MIC full,608,0.047697368421052634,0.0255478211774391,0.018801561194653302,0.06743421052631579,0.030487399535376807,0.02013146190873246
baby,2028,Q4-high,Past-only,152,0.039473684210526314,0.015764623921975196,0.008798036758563074,0.05921052631578947,0.021270076796668546,0.010592295131768814
baby,2028,Q4-high,Future-only,152,0.05263157894736842,0.024122241913980668,0.01568765664160401,0.09868421052631579,0.0358956742453899,0.018993612670032335
baby,2028,Q4-high,Past+Future,152,0.046052631578947366,0.01798019569012776,0.009763993316624897,0.05921052631578947,0.021593229243275457,0.010910325055061898
baby,2028,Q4-high,FIR-MIC full,152,0.0,0.0,0.0,0.0,0.0,0.0
baby,2029,Overall,Past-only,608,0.029605263157894735,0.013560564155586805,0.008805216165413533,0.054276315789473686,0.019801502244979136,0.010521877825476896
baby,2029,Overall,Future-only,608,0.018092105263157895,0.007472959437645304,0.004406197786131996,0.046052631578947366,0.014428482019986722,0.00625003862570314
baby,2029,Overall,Past+Future,608,0.03125,0.013473247162864988,0.008334638680033417,0.0625,0.021122169023768726,0.010308081492279287
baby,2029,Overall,FIR-MIC full,608,0.05098684210526316,0.027512737093438325,0.02049394319131161,0.0756578947368421,0.03364530178206822,0.022118067897128307
baby,2029,Q4-high,Past-only,152,0.013157894736842105,0.004268409277099093,0.0017622180451127819,0.039473684210526314,0.010943410292301982,0.003596732215153268
baby,2029,Q4-high,Future-only,152,0.05263157894736842,0.023839241830256583,0.015322159565580619,0.09868421052631579,0.035112923488629925,0.018219840230289146
baby,2029,Q4-high,Past+Future,152,0.03289473684210526,0.010597803960770601,0.0044225146198830405,0.05921052631578947,0.01680266328674728,0.005893640350877193
baby,2029,Q4-high,FIR-MIC full,152,0.0,0.0,0.0,0.0,0.0,0.0
baby,2030,Overall,Past-only,608,0.018092105263157895,0.007504933579666409,0.004321350250626566,0.04276315789473684,0.013723769417084931,0.006018058050491955
baby,2030,Overall,Future-only,608,0.01644736842105263,0.005998810932498586,0.002987285923141186,0.03618421052631579,0.01095385224285527,0.004329041343831245
baby,2030,Overall,Past+Future,608,0.01644736842105263,0.00701398899050103,0.004143823099415205,0.039473684210526314,0.01290469933113845,0.005794950351087817
baby,2030,Overall,FIR-MIC full,608,0.047697368421052634,0.026410316911239542,0.019980289264828737,0.08223684210526316,0.03478339527537892,0.022086912342801315
baby,2030,Q4-high,Past-only,152,0.046052631578947366,0.01769085439817866,0.009390664160401003,0.07894736842105263,0.026056985557212784,0.01171010093707462
baby,2030,Q4-high,Future-only,152,0.05263157894736842,0.019821800776064647,0.010278299916457812,0.09868421052631579,0.031187791044860025,0.013245967246547743
baby,2030,Q4-high,Past+Future,152,0.039473684210526314,0.015995117556795384,0.008954678362573099,0.07894736842105263,0.026420713855923254,0.012050130059998481
baby,2030,Q4-high,FIR-MIC full,152,0.0,0.0,0.0,0.0,0.0,0.0
