seed,gap_quartile,delta_Recall@10,gain_pct_Recall@10,delta_NDCG@10,gain_pct_NDCG@10,delta_MRR@10,gain_pct_MRR@10,delta_Recall@20,gain_pct_Recall@20,delta_NDCG@20,gain_pct_NDCG@20,delta_MRR@20,gain_pct_MRR@20
2022,1,0.06578947368421054,52.63157894736843,0.04963386421693549,97.57610273762297,0.04378654970760233,150.05815514001966,0.10526315789473684,59.25925925925925,0.0595155877278498,93.07229099846985,0.04643230854836688,142.19829604321498
2022,2,-0.013157894736842105,-100.0,-0.0038822027761965076,-100.0,-0.001388888888888889,-100.0,-0.039473684210526314,-75.0,-0.010647331426466757,-77.7643971969368,-0.003291397353031702,-82.61709319169483
2022,3,-0.006578947368421052,-100.0,-0.002075426820958742,-100.0,-0.0008223684210526315,-100.0,-0.02631578947368421,-80.0,-0.006840397052896169,-81.5387170935218,-0.002007546439628483,-84.59796149490374
2022,4,-0.013157894736842105,-100.0,-0.004738066714262335,-100.0,-0.002255639097744361,-100.0,-0.039473684210526314,-100.0,-0.01103679676977381,-100.0,-0.0037979405751220156,-100.0
2023,1,0.0723684210526316,61.11111111111113,0.0430112000901664,70.7369644347912,0.03467261904761905,80.54949053857352,0.09868421052631579,48.38709677419355,0.049260103165174374,59.95369113079344,0.036159094818150536,74.1379903454491
2023,2,-0.019736842105263157,-100.0,-0.007358943164288921,-100.0,-0.0036915204678362574,-100.0,-0.05921052631578947,-90.0,-0.017003381488968478,-91.90414888677019,-0.006159927036373183,-94.93059430803571
2023,3,-0.006578947368421052,-100.0,-0.002075426820958742,-100.0,-0.0008223684210526315,-100.0,-0.006578947368421052,-50.0,-0.0020010354874614427,-54.302628320663025,-0.0007636278195488721,-61.904761904761905
2023,4,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
2024,1,0.05263157894736842,40.0,0.031474522605412225,45.17140677399447,0.025287176274018372,49.87641606591142,0.09210526315789475,51.851851851851855,0.041901113053860545,51.752599684406114,0.028375674892702756,52.92963603824867
2024,2,-0.019736842105263157,-100.0,-0.006516911290166689,-99.99999999999999,-0.0027673350041771093,-100.0,-0.046052631578947366,-87.5,-0.012861720846624769,-88.87766090900219,-0.004347974940029283,-91.36015002821848
2024,3,-0.006578947368421052,-50.0,-0.0023434683362369884,-51.65863013822944,-0.0010964912280701754,-53.84615384615385,-0.013157894736842105,-66.66666666666666,-0.0039211819320799585,-64.13275278686649,-0.0014834881320949433,-61.21673003802282
2024,4,-0.006578947368421052,-100.0,-0.0021929824561403508,-100.0,-0.0009398496240601503,-100.0,-0.013157894736842105,-100.0,-0.0038377192982456134,-100.0,-0.0013784461152882203,-100.00000000000001
2025,1,0.1118421052631579,130.76923076923077,0.058830620759275566,136.07466623916667,0.042906746031746046,141.18202903530633,0.125,86.36363636363636,0.06287850158552906,109.15488940153598,0.044396165551402245,130.52810982809171
2025,2,-0.013157894736842105,-100.0,-0.004150853641917484,-100.0,-0.001644736842105263,-100.0,-0.019736842105263157,-60.0,-0.005554664301396375,-62.4669517570762,-0.0018961085659492862,-67.39644970414201
2025,3,-0.013157894736842105,-100.0,-0.004268409277099093,-100.0,-0.0017622180451127819,-100.0,-0.02631578947368421,-100.0,-0.007625785321907573,-100.0,-0.0027065645573263303,-100.0
2025,4,-0.013157894736842105,-100.0,-0.004173442953929701,-100.0,-0.001670843776106934,-100.0,-0.03289473684210526,-100.0,-0.00910853259458115,-100.0,-0.0030021871923452503,-100.0
2026,1,0.02631578947368421,16.666666666666664,0.02831242650173145,37.84471969744157,0.02812761069340016,56.196536615898175,0.019736842105263164,7.692307692307694,0.026398442058236007,26.404704125074993,0.027495015558961708,48.186124373178345
2026,2,-0.019736842105263157,-100.0,-0.006146952893051302,-100.0,-0.002412280701754386,-100.0,-0.02631578947368421,-66.66666666666666,-0.007735062637210376,-70.24993303568637,-0.0027960526315789474,-76.11940298507463
2026,3,0.0,nan,0.0,nan,0.0,nan,-0.006578947368421052,-50.0,-0.0014978305835325854,-49.5961249442152,-0.0003289473684210526,-48.717948717948715
2026,4,-0.006578947368421052,-100.0,-0.002833398408377586,-100.0,-0.001644736842105263,-100.0,-0.006578947368421052,-100.0,-0.002833398408377586,-100.0,-0.001644736842105263,-100.0
