variant,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
Anchor-only,0.06873508353221958,0.04370372463879622,0.03603004129257112,0.09880668257756563,0.05127623693350676,0.03809430163099152
Past-only,0.006205250596658711,0.0027235205142409563,0.0016837140584157289,0.012410501193317422,0.004283289826560166,0.002106179616006936
Future-only,0.005250596658711217,0.0023095596427721928,0.0014490282986703033,0.00954653937947494,0.0033874081628193263,0.001740764684675071
Past+Future,0.006205250596658711,0.0027231329274949793,0.001681630488313066,0.011455847255369928,0.004029164850492816,0.0020282485727449043
FIR-MIC without future bridge,0.06968973747016706,0.04428430309141988,0.03649448801000114,0.09689737470167065,0.051114438709009745,0.03834493475266138
Per-item + transition/association,0.07064439140811456,0.044747534342169416,0.03681971436148047,0.1035799522673031,0.05295821003326657,0.039013657351972084
FIR-MIC full,0.07255369928400955,0.045688761372617744,0.03743474637269387,0.10214797136038187,0.05319527157747763,0.03950724469675311
