variant,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
Anchor-only,0.046052631578947366,0.025346830798690195,0.019069157268170427,0.0756578947368421,0.03284971062985241,0.0211336610339966
Past-only,0.024671052631578948,0.01075999368441718,0.006658573517126148,0.05921052631578947,0.01932275195368365,0.008927415518902096
Future-only,0.02138157894736842,0.009007996272162509,0.005381291771094403,0.044407894736842105,0.014824699435021124,0.006979445223905058
Past+Future,0.02631578947368421,0.010944649560375708,0.006429485171261487,0.047697368421052634,0.01631808095428874,0.007886404719076931
FIR-MIC without future bridge,0.047697368421052634,0.02510429727420509,0.018278769841269842,0.07401315789473684,0.031649533706359166,0.020017935640007704
Per-item + transition/association,0.047697368421052634,0.02575679780344869,0.019116802422723473,0.06907894736842106,0.031116029175475138,0.020561093739534957
FIR-MIC full,0.047697368421052634,0.0255478211774391,0.018801561194653302,0.06743421052631579,0.030487399535376807,0.02013146190873246
