variant,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
Anchor-only,0.06142941523922032,0.032223872517623625,0.023401213212199626,0.0915534554046072,0.039681021353364675,0.025364562672664324
Past-only,0.029533372711163616,0.013879744211683958,0.00913190635576932,0.05729474305965741,0.020951728054200786,0.011101404576769355
Future-only,0.0035440047253396337,0.001947732146778806,0.0014576828959581467,0.011222681630242174,0.0038082075243401525,0.0019260495926388447
Past+Future,0.0318960425280567,0.01419759989834604,0.008840088506361395,0.06202008269344359,0.021803865478648318,0.010921160222759962
FIR-MIC without future bridge,0.060838747784997045,0.03197688760326687,0.023272297696396927,0.0915534554046072,0.03960347692567712,0.025293324183285396
Per-item + transition/association,0.06261075014766686,0.03358164938419427,0.024878585023298545,0.09686946249261666,0.04210585462556084,0.027146078261991717
FIR-MIC full,0.05670407560543414,0.031241555419287227,0.0236067748619432,0.0939161252215003,0.04069279611167799,0.02622331717575016
