dataset,variant,n_seeds,Recall@10_mean,Recall@10_sd,NDCG@10_mean,NDCG@10_sd,MRR@10_mean,MRR@10_sd,Recall@20_mean,Recall@20_sd,NDCG@20_mean,NDCG@20_sd,MRR@20_mean,MRR@20_sd
baby,Anchor-only,5,0.046052631578947366,0.0,0.025346830798690195,0.0,0.019069157268170427,0.0,0.0756578947368421,0.0,0.03284971062985241,0.0,0.0211336610339966,0.0
baby,FIR-MIC full,5,0.047697368421052634,0.0011630045743199807,0.025642550085364434,0.0003306673275209469,0.01895441729323308,0.0006237490654155312,0.07401315789473684,0.003489013722959938,0.03221605997727879,0.001039877215048104,0.020715786577554848,0.0007588331962946076
baby,FIR-MIC image-only,5,0.033552631578947376,0.0032061823502661075,0.018052951752819058,0.0022322696507244776,0.013555633876357562,0.0021323742120477915,0.06513157894736843,0.002752171139914721,0.025919667757416685,0.0012497028811873081,0.01565423699085301,0.0018457917728867859
baby,FIR-MIC text-only,5,0.04835526315789474,0.0024943669223853786,0.02544274019254663,0.0010679116085570669,0.01862155388471178,0.000677852634354155,0.07598684210526316,0.0031637144838275247,0.032348439105886403,0.000924952758026523,0.020474817991278087,0.0005142177062805351
baby,FIR-MIC without future bridge,5,0.04868421052631579,0.0024943669223853795,0.025721406982016647,0.0006454100860844219,0.018809262740183796,0.0004646120694812313,0.07730263157894737,0.0016447368421052613,0.03285355081062953,0.0004590837582679119,0.02070973628754558,0.0005002074529978715
baby,Future-only,5,0.019736842105263157,0.003077020877281201,0.008976852393323811,0.0009471171142389697,0.005769893483709273,0.00031274960103792236,0.042105263157894736,0.005528860629595924,0.014526942790868438,0.0015527902505792972,0.00723901955774206,0.00047471445763207546
baby,Past+Future,5,0.021052631578947368,0.004095361709864714,0.010160978806009642,0.0020182681242395255,0.00694078947368421,0.0016539656124200993,0.04572368421052632,0.010747571876779305,0.016337083218968103,0.0037234471192166096,0.008602070307109922,0.0021034958998688473
baby,Past-only,5,0.022368421052631576,0.005148840737663989,0.010520543037460266,0.002523864658359893,0.007036340852130325,0.0019052228442714113,0.046052631578947366,0.010847784505158654,0.01641599530520119,0.0037656417135172827,0.008605775118945743,0.0021814716041065963
baby,Per-item + transition/association,5,0.04868421052631579,0.0009008594695808644,0.02575914990089232,0.0006028312393180383,0.01882140246449457,0.0006254406649758645,0.07335526315789473,0.003961050848286936,0.03191784375774107,0.0007830174055989352,0.020469208762005017,0.0005203224020026842
baby,Per-item,5,0.03914473684210527,0.005744818814662164,0.017717242654367603,0.0031265554107204638,0.011361346073517128,0.002619705769007221,0.0700657894736842,0.007853510780469291,0.025343614505222434,0.003092114056231275,0.013353120887517783,0.0025308595594990923
baby,Static,5,0.0305921052631579,0.007501154112494328,0.012759778303634142,0.002611272192833016,0.007522582497911446,0.0012942057824282208,0.06348684210526316,0.00851459151680578,0.021070418036243026,0.0026209070617825236,0.009797995259565448,0.0012223212167371733
