dataset,n_seeds,section,transition_nodes_mean,transition_nodes_sd,active_transition_nodes_mean,active_transition_nodes_sd,transition_edges_mean,transition_edges_sd,graph_density_mean,graph_density_sd,average_out_degree_mean,average_out_degree_sd,median_out_degree_mean,median_out_degree_sd,pct_states_without_outgoing_mean,pct_states_without_outgoing_sd,mean_transition_entropy_mean,mean_transition_entropy_sd,pct_test_users_future_state_created_mean,pct_test_users_future_state_created_sd,pct_test_users_last_state_has_observed_outgoing_mean,pct_test_users_last_state_has_observed_outgoing_sd,average_usable_transitions_per_user_mean,average_usable_transitions_per_user_sd
baby,10,transition,48.0,16.865480854231357,26.0,18.997075798366676,502.9,529.7927162789446,0.28662109375,0.25393327096471124,11.353125,9.700003691472665,12.1,10.854594521317793,0.38125,0.39925875329582106,1.3952663862056136,1.1962095329729376,1.0,0.0,1.0,0.0,1.6669407894736843,0.02522227766534744
clothing,10,transition,48.0,16.865480854231357,22.2,15.024424559141467,309.4,422.2466893495634,0.17265625,0.2559088040428334,6.90625,9.131481359720157,5.45,9.690917855852918,0.5015625,0.32312241429225486,0.9632657951315948,0.7665555380819814,1.0,0.0,1.0,0.0,1.8742720763723153,0.002487398217452699
sports,6,transition,32.0,0.0,31.333333333333332,0.816496580927726,764.5,241.82204200610002,0.74658203125,0.23615433789658205,23.890625,7.556938812690626,25.25,8.377051987423737,0.020833333333333332,0.02551551815399144,2.320125436625982,0.8681368595540225,1.0,0.0,1.0,0.0,2.2253396337861786,0.0022021679719205055
