dataset,seed,trial,intents,dim,learning_rate,weight_decay,dropout,router_dropout,best_epoch,epochs_ran,validation_NDCG@10,validation_Recall@10,validation_MRR@10,validation_Recall@20,validation_NDCG@20,validation_MRR@20,lambda_z,lambda_next,lambda_fine,trial_seconds,intent_initialization
clothing,2023,3,64,64,0.0005,0.0001,0.15,0.1,6,11,0.03933819156239298,0.07040062232594321,0.02994002086767548,0.09257098405289771,0.044892970575874526,0.03143592902629754,0.0,0.2,0.1,731.1574702090002,"{""fit_items"": ""warm-only"", ""intents"": 64, ""max_warm_cluster"": 474, ""min_warm_cluster"": 29}"
clothing,2023,4,64,64,0.001,0.0001,0.15,0.1,4,9,0.03993069005458102,0.07117852975495916,0.030408154445494003,0.09257098405289771,0.045251891060178455,0.031822022594878444,0.05,0.2,0.2,603.7959717839985,"{""fit_items"": ""warm-only"", ""intents"": 64, ""max_warm_cluster"": 474, ""min_warm_cluster"": 29}"
baby,2026,1,32,64,0.0005,0.0001,0.15,0.1,4,9,0.052309306529892914,0.0887218045112782,0.04138023630504833,0.11879699248120301,0.059653496481792495,0.04325682926057702,0.0,0.1,0.2,105.8421817769995,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 202, ""min_warm_cluster"": 48}"
baby,2026,2,32,64,0.001,0.0001,0.15,0.1,5,10,0.05229225104694464,0.08721804511278196,0.041701277002028886,0.12330827067669173,0.06118780998031401,0.044022743617589864,0.05,0.05,0.2,114.14881292399969,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 202, ""min_warm_cluster"": 48}"
baby,2026,3,64,64,0.0005,0.0001,0.15,0.1,2,7,0.0526392002503964,0.0887218045112782,0.04170247046186896,0.12180451127819548,0.060988748759333765,0.043988664743803356,0.2,0.0,0.2,79.8075593829999,"{""fit_items"": ""warm-only"", ""intents"": 64, ""max_warm_cluster"": 141, ""min_warm_cluster"": 11}"
baby,2026,4,64,64,0.001,0.0001,0.15,0.1,3,8,0.052790979086040496,0.09172932330827067,0.04112781954887218,0.12631578947368421,0.06123444176834807,0.043283759700342955,0.05,0.1,0.2,91.2437794970001,"{""fit_items"": ""warm-only"", ""intents"": 64, ""max_warm_cluster"": 141, ""min_warm_cluster"": 11}"
baby,2028,1,32,64,0.0005,0.0001,0.15,0.1,2,7,0.05213746692581719,0.08571428571428572,0.04193101802124359,0.12030075187969924,0.06072171958296936,0.044199483647038296,0.0,0.1,0.2,83.8743005310007,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 227, ""min_warm_cluster"": 47}"
baby,2028,2,32,64,0.001,0.0001,0.15,0.1,3,8,0.05241460829446505,0.08721804511278196,0.0418999880654016,0.11578947368421053,0.059529148657579016,0.04378982855693207,0.1,0.1,0.2,93.72060072000022,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 227, ""min_warm_cluster"": 47}"
baby,2028,3,64,64,0.0005,0.0001,0.15,0.1,3,8,0.05235795355433836,0.08421052631578947,0.04269781596849266,0.12330827067669173,0.06205420779932487,0.04526098633992207,0.1,0.1,0.2,92.46411352299947,"{""fit_items"": ""warm-only"", ""intents"": 64, ""max_warm_cluster"": 134, ""min_warm_cluster"": 6}"
baby,2028,4,64,64,0.001,0.0001,0.15,0.1,1,6,0.052001066097662633,0.08270676691729323,0.04260770975056689,0.11879699248120301,0.06107780641085256,0.0450748135683772,0.1,0.1,0.2,69.26570233200073,"{""fit_items"": ""warm-only"", ""intents"": 64, ""max_warm_cluster"": 134, ""min_warm_cluster"": 6}"
baby,2029,1,32,64,0.0005,0.0001,0.15,0.1,5,10,0.052851534823885826,0.08721804511278196,0.04241735290607471,0.12481203007518797,0.06212621804112785,0.04483829585531208,0.05,0.1,0.2,118.24627201200019,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 192, ""min_warm_cluster"": 38}"
baby,2029,2,32,64,0.001,0.0001,0.15,0.1,7,12,0.05233522044938123,0.08721804511278196,0.04173290368779091,0.12781954887218044,0.062272070699932805,0.044287926116471935,0.05,0.2,0.2,138.4631821820003,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 192, ""min_warm_cluster"": 38}"
baby,2029,3,64,64,0.0005,0.0001,0.15,0.1,5,10,0.05296441163031846,0.09172932330827067,0.041331304451605204,0.12030075187969924,0.05996729977933198,0.04313712774367119,0.0,0.2,0.05,116.7243221889994,"{""fit_items"": ""warm-only"", ""intents"": 64, ""max_warm_cluster"": 155, ""min_warm_cluster"": 11}"
