dataset,model,n_seeds,Recall@10_mean,Recall@10_sd,NDCG@10_mean,NDCG@10_sd,MRR@10_mean,MRR@10_sd,Recall@20_mean,Recall@20_sd,NDCG@20_mean,NDCG@20_sd,MRR@20_mean,MRR@20_sd
baby,CLCREC,10,0.024671052631578948,0.006978027445919877,0.011887449317846235,0.003448648454639239,0.008072720864661655,0.003113482686876952,0.05082236842105263,0.008753063593302078,0.018452644432451447,0.003606897275649449,0.009849547812715636,0.0031013954478074633
baby,FIR-MIC,10,0.04835526315789474,0.0015889667484856834,0.026240571228973712,0.0010329200080504137,0.01955422410192147,0.0010585617651389858,0.075,0.004664922672408476,0.03286360036998774,0.0016849411993964925,0.021311315369538036,0.001190175877809945
baby,Multi-interest clustered,10,0.0375,0.005739584354518597,0.017010882837660297,0.00295031762487858,0.010870862050960734,0.0022701825893065544,0.06628289473684211,0.00924082578912754,0.0241603634354143,0.0031059535363416376,0.012766401873037342,0.002141927346547967
baby,Multi-interest per-item,10,0.03980263157894737,0.005012776074851956,0.01842111370628047,0.0025425195150237598,0.0120562473893066,0.0020921154049070947,0.06907894736842106,0.006669695756905942,0.02570708161858375,0.0026480176385744567,0.013995937981872425,0.002096679696128814
baby,SEMCO,10,0.041611842105263155,0.006058052016035645,0.019768952664852187,0.0027872399549619016,0.01326075605680869,0.0021503448548803985,0.07335526315789473,0.009213136639298248,0.027694846537730012,0.0034594281814371206,0.015383888899221107,0.002252620180855577
baby,Static score-level,10,0.032072368421052634,0.006018228728097629,0.013619697169980969,0.0024033709064104855,0.00819640246449457,0.0017760463606248619,0.06282894736842105,0.006615396109209807,0.021340717624569714,0.002307288858724344,0.010285048928268337,0.001698313661391641
clothing,CLCREC,10,0.03264916467780429,0.0020891198169826373,0.018570874767656474,0.0016661979413107588,0.0143153009811721,0.0017928525518245762,0.049594272076372306,0.002704384816079292,0.02280181408716956,0.0016248479141217488,0.015449104656202495,0.0017813120812142007
clothing,FIR-MIC,10,0.07212410501193317,0.0010896352374392302,0.04557113730716427,0.0007210780630927481,0.03741868394135698,0.0007753924050024331,0.09976133651551312,0.001292607542503737,0.05253458083429811,0.0007274904351031487,0.039317555235567306,0.0007937911754532697
clothing,Multi-interest clustered,10,0.07317422434367542,0.0013321518338224002,0.0439324714782799,0.000695229892673368,0.03509527597833087,0.0006888146581295366,0.102291169451074,0.003500759365137933,0.051265669732639116,0.0008754052023689665,0.03709332940729196,0.0006416400052127589
clothing,Multi-interest per-item,10,0.07369928400954655,0.0019251530262216925,0.04426022166361186,0.0008952835251644641,0.03536227601621396,0.0008705138387228413,0.10319809069212409,0.0030339376767676758,0.05167756979480348,0.0009789625985113313,0.03737703389073117,0.0008766271554701948
clothing,SEMCO,10,0.05789976133651552,0.0023712044277182684,0.030831694650747483,0.0016042212712304971,0.022706046141607,0.001645372613207275,0.09417661097852029,0.003993920885387629,0.03993670201656778,0.001658945094099371,0.025169987574043744,0.0016007239621275938
clothing,Static score-level,10,0.06248210023866348,0.0017638865937203599,0.03680296553528984,0.0011994103700054114,0.0289560556123802,0.0013066668903235518,0.0899761336515513,0.002636124347777391,0.043723965867698306,0.0012058732193853236,0.030839813997721666,0.0012764407995390851
sports,CLCREC,9,0.026383146288639497,0.0036768752504396725,0.013604695825808807,0.0016261811846030457,0.009732496398178619,0.0011544144926918221,0.042921835006891125,0.005140843232583937,0.017759770410625826,0.0019036872665501058,0.010859086970459177,0.0011889367923614339
sports,FIR-MIC,9,0.06005119117936602,0.001936632759687536,0.0327094964247943,0.000787841103808228,0.024460846665020713,0.0005885571899077602,0.09490057097853907,0.0020883248115373555,0.041489771684736214,0.0006410846334422285,0.026854290392339678,0.0005315798510011087
sports,Multi-interest clustered,9,0.058410448250968035,0.0022961023409510915,0.03152229807225672,0.0010024010796997438,0.02342181365118951,0.0009077206224398165,0.09385049550436436,0.003103737501562207,0.04038372738901446,0.000811913146183076,0.02580300386345676,0.0008163392374460864
sports,Multi-interest per-item,9,0.059591783159414574,0.0022961023409510924,0.03262227171427866,0.001167046297745705,0.024522621938451825,0.001141555523725718,0.09575375730130603,0.0019466154689195922,0.04166860229990963,0.0011903428243399468,0.02695483801944448,0.0011853646644487395
sports,SEMCO,9,0.057163483625385564,0.0035289325317847836,0.026615149647846833,0.0020024579987268773,0.01756501248527238,0.0016958280901290914,0.09693509220975258,0.004569991883612978,0.036626269713796226,0.002058318199632683,0.02028997986613025,0.0016691952452022468
sports,Static score-level,9,0.055194592111308,0.0035206841390525026,0.029991988158409793,0.0018030180995688649,0.022407652216669738,0.0014202221944459228,0.08702500492222878,0.004124111058407838,0.037952031776098835,0.0017518233765943534,0.0245450295204199,0.001389127259088448
