dataset,baseline,strongest_baseline,gain_pct_Recall@10,gain_pct_NDCG@10,gain_pct_MRR@10,gain_pct_Recall@20,gain_pct_NDCG@20,gain_pct_MRR@20
baby,CLCREC,0,96.00000000000004,120.74181371759549,142.2259412872816,47.57281553398058,78.09696865015563,116.36846457078373
baby,Multi-interest clustered,0,28.94736842105267,54.257550765559685,79.8774008009174,13.151364764267978,36.02278979717757,66.93282556416746
baby,Multi-interest per-item,0,21.487603305785154,42.448342957827165,62.191629538601454,8.571428571428557,27.838705527081366,52.267860840341704
baby,SEMCO,1,16.20553359683798,32.736274267213005,47.459345591999075,2.242152466367701,18.66323333915607,38.53009150772688
baby,Static score-level,0,50.769230769230795,92.66633392415126,138.57081428867193,19.371727748691093,53.99482317385454,107.20674756309745
clothing,CLCREC,0,121.34502923976606,138.64835472876246,149.14346600501744,104.9212598425197,127.4243766073559,144.39208618962417
clothing,Multi-interest clustered,0,-0.9162303664921307,4.627177754171678,7.7085106221933515,-2.9822926374650476,2.8075353251775157,6.874186086007472
clothing,Multi-interest per-item,1,-1.943005181347138,3.2605278313539388,6.229037559361353,-4.670329670329659,1.1606971249754987,5.303248242927612
clothing,SEMCO,0,24.30213464696224,46.13570008372535,61.707895958674406,5.151515151515153,30.093024831735278,53.478309345256456
clothing,Static score-level,0,17.001545595054107,25.360501898192474,30.812163809043533,10.744680851063851,20.812794372754855,28.748544496037347
