dataset,group,n_seeds,n_users_mean,n_users_sd,average_history_length_mean,average_history_length_sd,gain_pct_Recall@10_mean,gain_pct_Recall@10_sd,gain_pct_NDCG@10_mean,gain_pct_NDCG@10_sd,gain_pct_MRR@10_mean,gain_pct_MRR@10_sd,gain_pct_Recall@20_mean,gain_pct_Recall@20_sd,gain_pct_NDCG@20_mean,gain_pct_NDCG@20_sd,gain_pct_MRR@20_mean,gain_pct_MRR@20_sd,average_interest_diversity_mean,average_interest_diversity_sd
baby,1,8,87.0,0.0,1.0,0.0,-2.083333333333334,18.23022956084947,21.23052740474839,31.834906179128602,54.6895064755187,64.94533695414171,-27.996031746031747,26.23955238466241,-12.168777850695413,19.488517699934356,18.324685799005277,23.83281346951279,,
baby,2-3,8,408.0,0.0,2.321078431372549,0.0,53.72753267973856,48.64959508506029,71.49675406289745,58.18265335395602,90.1108475477948,69.96723664483295,26.568753842252175,23.728738123160745,46.61939436592633,34.15645368986004,74.12305823530497,54.12684586786672,0.7078592446176153,0.0
baby,4-5,8,79.0,0.0,4.329113924050633,0.0,21.964285714285715,25.758889886081377,47.91517310842286,23.293583326846658,69.59028337365206,36.11145316351265,14.412774725274723,37.38314649007773,34.99244128441673,24.89241526683912,59.62100168700802,25.008207018751957,0.7120863282227818,0.0
baby,>=6,8,34.0,0.0,7.617647058823529,0.0,nan,nan,nan,nan,nan,nan,-50.0,23.570226039551585,-56.142576931857555,18.06815402105746,-63.05975497630517,19.88422044161794,0.7146637001458336,0.0
