dataset,model,n_seeds,inference_ms_per_user_mean,inference_ms_per_user_sd,inference_seconds_mean,inference_seconds_sd,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_sd,train_seconds_mean,train_seconds_sd,trainable_parameters_mean,trainable_parameters_sd,hyperparameter_search_seconds_mean,hyperparameter_search_seconds_sd
baby,CLCREC,10,0.3018604579733637,0.006966114074375333,0.384268363000092,0.008867863216679792,437.1142578125,0.0,103.56754878850002,0.6609642282436572,1784512.0,0.0,,
baby,FIR-MIC,10,0.6913186480266637,0.030092984747646125,0.42032173800021155,0.01829653472656884,313.8419921875,0.4226651550971919,8.948799629699966,5.351839920224875,367267.0,4334.428579537459,382.72000502069994,57.08426046371469
baby,Multi-interest clustered,10,0.219288786677689,0.008611680569636862,,,48.98935546875,0.4743416490252569,14.549702534100016,0.31324866306165433,82176.0,0.0,,
baby,Multi-interest per-item,10,0.20654418453931922,0.002429134499362797,,,64.3798828125,0.24705294220065463,10.437486581599888,0.15344957244777518,82176.0,0.0,,
baby,SEMCO,10,0.4865150504320085,0.01406858366658373,0.6193336591999469,0.017909307007561097,243.9990234375,0.0,13.00658112899996,0.24195051320005925,874434.0,0.0,,
baby,Static score-level,10,0.18368989325643115,0.010062272118704862,,,48.32919921875,0.4743416490252569,10.403273594700067,0.2888805486236455,82176.0,0.0,,
clothing,CLCREC,1,0.27687298542629873,0.0,1.29188934999911,0.0,1268.94970703125,0.0,1042.3208638590004,0.0,3350720.0,0.0,,
clothing,FIR-MIC,1,1.0189637298330243,0.0,2.134729014000186,0.0,590.9794921875,0.0,50.67070730799969,0.0,371379.0,0.0,3295.1986368489997,0.0
clothing,Multi-interest clustered,1,0.21526903293525765,0.0,,,113.6474609375,0.0,55.376036156001646,0.0,82176.0,0.0,,
clothing,Multi-interest per-item,1,0.20587572219620012,0.0,,,179.90087890625,0.0,39.468278967000515,0.0,82176.0,0.0,,
clothing,SEMCO,1,0.47094959215580035,0.0,2.1974507969989645,0.0,773.74609375,0.0,87.39219087500169,0.0,874434.0,0.0,,
clothing,Static score-level,1,0.17849126062067674,0.0,,,92.5859375,0.0,37.61250626400033,0.0,82176.0,0.0,,
