model,lambda_z,lambda_next,lambda_fine,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
Anchor,0,0,0,0.06873508353221958,0.04370372463879622,0.03603004129257112,0.09880668257756563,0.05127623693350676,0.03809430163099152
Anchor+fine,0,0,0.2,0.06968973747016706,0.043276495300951054,0.03515285827934993,0.0945107398568019,0.049521180438534367,0.03685171754740683
Anchor+future-no-router,0,0.2,0.2,0.0720763723150358,0.044524073550318656,0.03611793006781073,0.10071599045346062,0.051753219932591375,0.03809561704099044
Anchor+router,0.0,0,0.2,0.06968973747016706,0.043276495300951054,0.03515285827934993,0.0945107398568019,0.049521180438534367,0.03685171754740683
Full FIR-MIC,0.0,0.2,0.2,0.0720763723150358,0.044524073550318656,0.03611793006781073,0.10071599045346062,0.051753219932591375,0.03809561704099044
